doc_id,title,in_metadata,in_kg_doc_nodes,in_runtime_doc_id_mapping,aboutTaxon_count,aboutDisease_count,aboutLocation_count,documentProductionMode_count,has_aboutTaxon,has_aboutDisease,has_aboutLocation,has_documentProductionMode,has_at_least_1_core_fact,has_all_4_core_fact_types
PMC_019,Isolation and Characterization of Specific Phages to Prepare a Cocktail Preventing Vibrio sp. Va-F3 Infections in Shrimp (Litopenaeus vannamei),True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_020,Dynamic Interplay of Metabolic and Transcriptional Responses in Shrimp during Early and Late Infection Stages of Enterocytozoon hepatopenaei (EHP),True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_021,The emerging pathogen Enterocytozoon hepatopenaei drives a degenerative cyclic pattern in the hepatopancreas microbiome of the shrimp (Penaeus vannamei),True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_022,Immune signaling of Litopenaeus vannamei c-type lysozyme and its role during microsporidian Enterocytozoon hepatopenaei (EHP) infection,True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_023,A review on molecular detection techniques of white spot syndrome virus: Perspectives of problems and solutions in shrimp farming,True,True,True,1,1,0,1,True,True,False,True,True,False
PMC_024,Immunostimulants for shrimp aquaculture: paving pathway towards shrimp sustainability,True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_025,Occurrence of viral pathogens in Penaeus monodon post-larvae from aquaculture hatcheries,True,True,True,2,1,1,1,True,True,True,True,True,True
PMC_026,Las bolitas Syndrome in Penaeus vannamei Hatcheries in Latin America,True,True,True,2,1,1,1,True,True,True,True,True,True
PMC_027,"Emergence of decapod hepanhamaparvovirus genotype V and its co-infection with Enterocytozoon hepatopenaei in cultured Penaeus vannamei in Thailand: Evidence from epidemiological, pathogenicity, and microbiome analyses",True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_028,"Microbiome of Pacific Whiteleg shrimp reveals differential bacterial community composition between Wild, Aquacultured and AHPND/EMS outbreak conditions",True,True,True,1,1,0,1,True,True,False,True,True,False
PMC_029,Selection of Lactic Acid Bacteria (LAB) Antagonizing Vibrio parahaemolyticus: The Pathogen of Acute Hepatopancreatic Necrosis Disease (AHPND) in Whiteleg Shrimp (Penaeus vannamei),True,True,True,1,2,0,1,True,True,False,True,True,False
PMC_030,Microbial signature profiles of Penaeus vannamei larvae in low-survival hatchery tanks affected by vibriosis,True,True,True,2,2,0,1,True,True,False,True,True,False
PMC_031,"Vibrios Associated with Litopenaeus vannamei Larvae, Postlarvae, Broodstock, and Hatchery Probiotics",True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_032,"Isolation, characterization, and pathogenicity of a Vibrio parahaemolyticus strain causing translucent post-larvae disease in Penaeus vannamei outside China",True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_033,Delineating virulence of Vibrio campbellii: a predominant luminescent bacterial pathogen in Indian shrimp hatcheries,True,True,True,2,1,1,1,True,True,True,True,True,True
PMC_034,Genome Characterization and Infectivity Potential of Vibriophage-φLV6 with Lytic Activity against Luminescent Vibrios of Penaeus vannamei Shrimp Aquaculture,True,True,True,2,1,1,1,True,True,True,True,True,True
PMC_035,Advanced Pathogen Monitoring in Penaeus vannamei from Three Latin American Regions: Passive Surveillance Part 2,True,True,True,2,2,1,1,True,True,True,True,True,True
PMC_036,Microbiome of Penaeus vannamei Larvae and Potential Biomarkers Associated With High and Low Survival in Shrimp Hatchery Tanks Affected by Acute Hepatopancreatic Necrosis Disease,True,True,True,2,2,0,1,True,True,False,True,True,False
RIA3_001,Quy hoạch nuôi tôm hùm đến năm 2020 và định hướng đến 2030,True,True,True,1,0,7,1,True,False,True,True,True,False
TB_001,Giải pháp an toàn sinh học trong nuôi tôm,True,True,True,3,2,1,1,True,True,True,True,True,True
TB_002,"Công nghệ gen và chọn giống tôm kháng bệnh, tiềm năng và thách thức",True,True,True,1,1,0,1,True,True,False,True,True,False
TB_003,Cơ chế cơ bản của nhiễm đơn lẻ và đồng nhiễm DIV1 và WSSV ở tôm thẻ chân trắng,True,True,True,1,1,0,1,True,True,False,True,True,False
TB_004,Mối tương tác vật chủ-bệnh nguyên động và các mục tiêu kháng vi-rút tiềm năng trong quá trình nhiễm vi-rút hoại tử cơ ở tôm thẻ chân trắng,True,True,True,1,1,0,1,True,True,False,True,True,False
TB_005,"Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024",True,True,True,2,3,1,1,True,True,True,True,True,True
TB_006,Hoại tử cơ (IMNV) trên tôm và chiến lược kiểm soát,True,True,True,2,1,0,1,True,True,False,True,True,False
TB_007,Bệnh đốm trắng ở tôm nuôi và công nghệ nuôi tôm nhằm phòng bệnh đốm trắng,True,True,True,2,1,0,1,True,True,False,True,True,False
VJMST_001,"Hiện trạng nuôi trồng và khai thác thủy sản tại đầm Thủy Triều huyện Cam Lâm, tỉnh Khánh Hòa",True,True,True,1,0,2,2,True,False,True,True,True,False
KNQG_001,"Phát triển nuôi cá lồng bè trên biển bền vững, thích ứng biến đổi khí hậu",True,True,True,1,0,2,1,True,False,True,True,True,False
YERSIN_001,Đánh giá tính bền vững nghề nuôi tôm tại huyện Ninh Hòa - tỉnh Khánh Hòa,True,True,True,1,0,2,1,True,False,True,True,True,False
JFST_001,"Nuôi cá chẽm (Lates calcarifer, Bloch, 1790) thương phẩm trong hệ thống “sông trong ao” tại Khánh Hòa",True,True,True,0,0,2,1,False,False,True,True,True,False
CTU_001,Kỹ thuật sản xuất giống và nuôi giáp xác,True,True,True,2,0,1,1,True,False,True,True,True,False
