row_index,doc_id,field_name,raw_value,status,mapped_uri_or_reason
18,FAO_019,filePath,data/raw_docs/FAO_019_i0490e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_019
18,FAO_019,language,English,skipped_no_predicate,predicate missing in ontology
18,FAO_019,keywords,aquaculture; risk analysis; risk factors; environmental impact; pathogens; invasive species; genetic impacts; food safety; sustainability; decision making; disease risk; environmental hazards,skipped_no_predicate,predicate missing in ontology
18,FAO_019,aboutTaxon,aquatic species,unmapped,no ontology match (and manual fallback failed)
18,FAO_019,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
18,FAO_019,aboutTaxon,shrimp,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp
18,FAO_019,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
18,FAO_019,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
19,FAO_020,docId,FAO_020,skipped_no_predicate,predicate missing in ontology
19,FAO_020,title,Risk Analysis for Movements of Live Aquatic Animals. An introductory training course,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_020
19,FAO_020,filePath,data/raw_docs/FAO_020_i2571e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_020
19,FAO_020,language,English,skipped_no_predicate,predicate missing in ontology
19,FAO_020,keywords,aquaculture; risk analysis; biosecurity; disease transmission; pathogen risk; import risk analysis; risk assessment; risk management; risk communication; disease risk; pathogen spread,skipped_no_predicate,predicate missing in ontology
19,FAO_020,aboutTaxon,aquatic animals,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon
19,FAO_020,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
19,FAO_020,aboutTaxon,shrimp,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp
19,FAO_020,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
19,FAO_020,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
20,FAO_021,docId,FAO_021,skipped_no_predicate,predicate missing in ontology
