doc_id,doc_uri,token,source_field,candidate_property,normalized_label,candidate_class,candidate_property_suggested,target_uri,decision,reason,confidence
FAO_029,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_029,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_031,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_031,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_031,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_031,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_031,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_031,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_032,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_032,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_032,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_032,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_032,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_032,Azerbaijan,related_location,aboutLocation,azerbaijan,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_033,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_033,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_033,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_033,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_033,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_033,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
